10/16/15
Module Metrics

Program: PopcornTime_Android
Module Name,Mod #,v(G),ev(G),iv(G),# Lines,Line #
"PrefUtils.save(android.content.Context,java.lang.String,int)",347,1,1,1,3,112
pct.droid.base.providers.media.models.Show.__Anon_001_.newArray(int),655,1,1,1,3,112
"pct.droid.base.providers.subs.YSubsProvider.__Anon_002_.onFailure(com.squareup.okhttp.Request,java.io.IOException)",668,1,1,1,3,112
"StringArraySelectorDialogFragment.showSingleChoice(android.support.v4.app.FragmentManager,int,java.lang.String[],int,OnClickListener)",393,1,1,1,3,111
UnicodeBOMInputStream.BOM.toString(),472,1,1,1,3,111
StreamInfo.getQuality(),375,1,1,1,3,111
pct.droid.base.providers.media.models.Episode.__Anon_001_.createFromParcel(android.os.Parcel),646,1,1,1,3,110
"pct.droid.base.providers.subs.OpenSubsProvider.1.__Anon_001_.onError(long,de.timroes.axmlrpc.XMLRPCException)",658,1,1,1,3,109
PixelUtils.screenIsPortrait(android.content.Context),299,1,1,1,3,108
"StringArraySelectorDialogFragment.showSingleChoice(android.support.v4.app.FragmentManager,int,java.util.List,int,OnClickListener)",394,1,1,1,3,107
BeamServer.setCurrentVideo(java.io.File),915,1,1,1,3,107
StreamInfo.getSubtitleLanguage(),378,1,1,1,3,107
NumberPickerDialogFragment.setOnResultListener(ResultListener),259,1,1,1,3,107
pct.droid.base.providers.media.models.Show.__Anon_001_.createFromParcel(android.os.Parcel),654,1,1,1,3,107
PrefItem.isTitle(),334,1,1,1,3,105
ObscuredSharedPreferences.Editor.apply(),260,1,1,1,3,104
"StringArraySelectorDialogFragment.show(android.support.v4.app.FragmentManager,java.lang.String,java.lang.String[],int,OnClickListener)",1588,1,1,1,3,103
StreamInfo.getHeaderImageUrl(),371,1,1,1,3,103
TimedTextObject.toSRT(),434,1,1,1,3,103
PrefItem.hasNext(),332,1,1,1,3,101
pct.droid.base.beaming.BeamPlayerNotificationService.__Anon_003_.onError(com.connectsdk.service.command.ServiceCommandError),546,1,1,1,3,101
"PrefUtils.get(android.content.Context,java.lang.String,long)",343,1,1,1,3,101
StreamInfo.getImageUrl(),372,1,1,1,3,99
"pct.droid.base.fragments.dialog.NumberPickerDialogFragment.__Anon_002_.onClick(android.content.DialogInterface,int)",632,1,1,1,3,98
Media.describeContents(),228,1,1,1,3,97
"pct.droid.base.providers.subs.SubsProvider.__Anon_001_.onFailure(com.squareup.okhttp.Request,java.io.IOException)",664,1,1,1,3,97
PrefItem.isClickable(),333,1,1,1,3,96
StringUtils.colorToString(int),397,1,1,1,3,96
StreamInfo.getShowEpisodeTitle(),376,1,1,1,3,95
BeamDeviceAdapter.getItemId(int),72,1,1,1,3,94
"StringArraySelectorDialogFragment.show(android.support.v4.app.FragmentManager,int,java.lang.String[],int,OnClickListener)",389,1,1,1,3,94
StreamInfo.getShowTitle(),377,1,1,1,3,91
"StringArraySelectorDialogFragment.show(android.support.v4.app.FragmentManager,int,java.util.List,int,OnClickListener)",390,1,1,1,3,90
pct.droid.base.providers.subs.YSubsProvider.__Anon_001_.onSuccess(java.util.Map),667,1,1,1,3,90
BeamDeviceAdapter.getItem(int),823,1,1,1,3,89
"PrefUtils.save(android.content.Context,java.lang.String,long)",349,1,1,1,3,89
pct.droid.base.beaming.BeamPlayerNotificationService.__Anon_002_.onError(com.connectsdk.service.command.ServiceCommandError),544,1,1,1,3,88
StreamInfo.getTitle(),379,1,1,1,3,87
pct.droid.base.providers.media.models.Movie.__Anon_001_.newArray(int),653,1,1,1,3,87
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_002_.get(PrefItem),572,1,1,1,3,86
StringArraySelectorDialogFragment.setDialogClickListener(OnClickListener),388,1,1,1,3,86
PrefItem.getDefaultValue(),326,1,1,1,3,85
Magnet.canOpen(),219,1,1,1,3,84
BeamDeviceAdapter.getCount(),71,1,1,1,3,84
StreamInfo.isShow(),382,1,1,1,3,83
pct.droid.base.providers.media.models.Movie.__Anon_001_.createFromParcel(android.os.Parcel),652,1,1,1,3,82
PrefItem.getPrefKey(),328,1,1,1,3,81
StringUtils.uppercaseFirst(java.lang.String),399,1,1,1,3,81
Episode.describeContents(),153,1,1,1,3,80
Show.describeContents(),356,1,1,1,3,80
BeamDeviceAdapter.destroy(),70,1,1,1,3,79
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.1.__Anon_001_.onSelection(int,java.lang.Object)",556,1,1,1,3,78
VPNManager.getCurrentState(),496,1,1,1,3,78
"PrefUtils.get(android.content.Context,java.lang.String,boolean)",340,1,1,1,3,78
"pct.droid.base.fragments.dialog.StringArraySelectorDialogFragment.__Anon_001_.onClick(android.content.DialogInterface,int)",633,1,1,1,3,78
PrefItem.getTitle(),330,1,1,1,3,77
FileArrayAdapter.ViewHolder.ViewHolder(android.view.View),159,1,1,1,3,76
FileSelectorDialogFragment.setListener(Listener),164,1,1,1,3,75
TorrentService.ServiceBinder.getService(),440,1,1,1,3,75
PrefItem.getIconResource(),327,1,1,1,3,73
MediaProvider.getGenres(),242,1,1,1,3,72
PrefItem.clearValue(),325,1,1,1,3,69
MediaProvider.getDefaultNavigationIndex(),241,1,1,1,3,68
SubsProvider.getStorageLocation(android.content.Context),1280,1,1,1,3,68
"PrefUtils.save(android.content.Context,java.lang.String,boolean)",346,1,1,1,3,66
BeamDeviceAdapter.ViewHolder.ViewHolder(android.view.View),820,1,1,1,3,64
pct.droid.base.beaming.BeamPlayerNotificationService.__Anon_001_.onError(com.connectsdk.service.command.ServiceCommandError),542,1,1,1,3,64
BeamServerService.getServer(),133,1,1,1,3,62
ObscuredSharedPreferences.Editor.Editor(),1131,1,1,1,3,62
LocaleUtils.currentLocaleIsRTL(),212,1,1,1,3,59
pct.droid.base.beaming.BeamPlayerNotificationService.__Anon_001_.onSuccess(java.lang.Object),543,1,1,1,3,59
"TimedTextFileFormat.parseFile(java.lang.String,java.lang.String)",430,1,1,1,3,59
Movie.describeContents(),252,1,1,1,3,57
BaseProvider.enqueue(com.squareup.okhttp.Request),9,1,1,1,3,57
"PrefUtils.get(android.content.Context,java.lang.String,java.lang.String)",342,1,1,1,3,55
Format.getId(),178,1,1,1,3,52
pct.droid.base.subs.SubtitleDownloader.__Anon_001_.onResponse(com.squareup.okhttp.Response),671,1,1,1,3,51
"StreamInfo.StreamInfo(pct.droid.base.providers.media.models.Media,pct.droid.base.providers.media.models.Show,java.lang.String,java.lang.String,java.lang.String)",368,1,1,1,3,51
VideoStream.getUrl(),511,1,1,1,3,50
MetaProvider.MetaData.Images.Images(java.lang.String),245,1,1,1,3,50
BeamServerService.onBind(android.content.Intent),134,1,1,1,3,49
"MediaProvider.getList(Filters,Callback)",243,1,1,1,3,48
BaseProvider.getClient(),703,1,1,1,3,47
"StreamInfo.StreamInfo(pct.droid.base.providers.media.models.Media,java.lang.String,java.lang.String,java.lang.String)",367,1,1,1,3,47
"pct.droid.base.subs.SubtitleDownloader.__Anon_001_.onFailure(com.squareup.okhttp.Request,java.io.IOException)",670,1,1,1,3,46
FileArrayAdapter.getItem(int),160,1,1,1,3,46
"Show.Show(pct.droid.base.providers.media.MediaProvider,pct.droid.base.providers.subs.SubsProvider)",355,1,1,1,3,46
NumberPickerDialogFragment.onCreate(android.os.Bundle),257,1,1,1,3,45
"Magnet.Magnet(android.content.Context,StreamInfo)",217,1,1,1,3,44
StreamInfo.StreamInfo(java.lang.String),366,1,1,1,3,43
VersionUtils.isJellyBean(),506,1,1,1,3,43
"PrefUtils.save(android.content.Context,java.lang.String,java.lang.String)",348,1,1,1,3,43
Format.Format(int),175,1,1,1,3,43
"pct.droid.base.fragments.dialog.ChangeLogDialogFragment.__Anon_001_.onClick(android.content.DialogInterface,int)",629,1,1,1,3,41
Option.getPath(),290,1,1,1,3,41
PrefItem.PrefItem(),1206,1,1,1,3,41
BeamPlayerNotificationService.onBind(android.content.Intent),111,1,1,1,3,40
StringArraySelectorDialogFragment.onCreate(android.os.Bundle),386,1,1,1,3,40
VersionUtils.isLollipop(),507,1,1,1,3,39
LocaleUtils.getCurrent(),213,1,1,1,3,39
FatalParsingException.getLocalizedMessage(),157,1,1,1,3,37
Option.getData(),289,1,1,1,3,37
PrefItem.newBuilder(android.content.Context),335,1,1,1,3,37
VersionUtils.isMarshmallow(),508,1,1,1,3,35
Genre.getLabelId(),199,1,1,1,3,35
"BeamDeviceListener.onConnectionFailed(com.connectsdk.device.ConnectableDevice,com.connectsdk.service.command.ServiceCommandError)",75,1,1,1,3,33
Option.getName(),1146,1,1,1,3,33
PrefUtils.clear(android.content.Context),338,1,1,1,3,32
Genre.getKey(),198,1,1,1,3,31
StrokedTextView.setStrokeColor(int),404,1,1,1,3,29
Style.Style(java.lang.String),405,1,1,1,3,29
"BeamDeviceListener.onCapabilityUpdated(com.connectsdk.device.ConnectableDevice,java.util.List,java.util.List)",74,1,1,1,3,28
LocaleUtils.getCurrentAsString(),1073,1,1,1,3,27
"StrokedTextView.StrokedTextView(android.content.Context,android.util.AttributeSet,int)",402,1,1,1,3,25
"BeamDeviceListener.onPairingRequired(com.connectsdk.device.ConnectableDevice,com.connectsdk.service.DeviceService,PairingType)",78,1,1,1,3,23
"StrokedTextView.StrokedTextView(android.content.Context,android.util.AttributeSet)",401,1,1,1,3,21
BeamDeviceListener.onDeviceDisconnected(com.connectsdk.device.ConnectableDevice),76,1,1,1,3,18
StrokedTextView.StrokedTextView(android.content.Context),400,1,1,1,3,17
BeamDeviceListener.onDeviceReady(com.connectsdk.device.ConnectableDevice),77,1,1,1,3,13
pct.droid.base.beaming.BeamPlayerNotificationService.__Anon_004_.onPrepareLoad(android.graphics.drawable.Drawable),550,1,1,1,2,197
pct.droid.base.beaming.BeamPlayerNotificationService.__Anon_004_.onBitmapFailed(android.graphics.drawable.Drawable),548,1,1,1,2,193
"MetaProvider.getShowMeta(java.lang.String,MetaProvider$Callback)",249,1,1,1,2,66
"MetaProvider.getEpisodeMeta(java.lang.String,int,int,MetaProvider$Callback)",247,1,1,1,2,63
"MetaProvider.getMovieMeta(java.lang.String,MetaProvider$Callback)",248,1,1,1,2,60
BaseVideoPlayerFragment.onSurfacesDestroyed(org.videolan.libvlc.IVLCVout),57,1,1,1,1,667
BaseVideoPlayerFragment.onSurfacesCreated(org.videolan.libvlc.IVLCVout),56,1,1,1,1,664
BaseVideoPlayerFragment.onSubtitleEnabledStateChanged(boolean),787,1,1,1,1,661
MediaProvider.Filters.Filters(),232,1,1,1,1,93
Total:,,1997,1054,1686,9624,
Average:,,2.66,1.41,2.25,12.83,
Rows in Report:,750
