10/16/15
Module Metrics

Program: PopcornTime_Android
Module Name,Mod #,v(G),ev(G),iv(G),# Lines,Line #
VPNHTChecker.isDownloadAvailable(android.content.Context),492,4,3,4,28,37
pct.droid.base.providers.media.EZTVProvider.__Anon_002_.onResponse(com.squareup.okhttp.Response),638,4,3,4,20,195
pct.droid.base.providers.media.HaruProvider.__Anon_002_.onResponse(com.squareup.okhttp.Response),642,4,3,4,20,174
PopcornApplication.getHttpClient(),302,4,3,4,18,156
FileUtils.recursiveDelete(java.io.File),172,4,3,4,11,94
VPNManager.stop(),502,4,3,4,11,89
BaseStreamLoadingFragment.startPlayer(java.lang.String),725,4,3,3,18,189
VPNManager.isConnected(),499,4,3,3,10,147
BaseVideoPlayerFragment.seek(int),59,4,3,2,10,542
BeamPlayerNotificationService.buildNotification(Action),1402,4,1,4,34,117
TorrentService.streamTorrent(java.lang.String),464,4,1,4,28,197
EZTVProvider.EZTVReponse.formatListForPopcorn(java.util.ArrayList),145,4,1,4,19,319
TorrentService.stopStreaming(),1337,4,1,4,17,226
TimedTextObject.cleanUnusedStyles(),432,4,1,4,17,136
"BeamManager.onPairingRequired(com.connectsdk.device.ConnectableDevice,com.connectsdk.service.DeviceService,PairingType)",102,4,1,4,16,383
BaseVideoPlayerFragment.togglePlayPause(),68,4,1,4,14,377
BaseStreamLoadingFragment.loadSubtitles(),12,4,1,4,14,316
"pct.droid.base.fragments.BaseVideoPlayerFragment.__Anon_001_.onClick(android.content.DialogInterface,int)",624,4,1,4,13,792
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_032_.get(PrefItem),602,4,1,4,13,546
BeamManager.onDeviceReady(com.connectsdk.device.ConnectableDevice),98,4,1,4,12,359
PrefItem.saveValue(java.lang.Object),337,4,1,4,11,57
PrefItem.getValue(),331,4,1,4,11,45
FragmentUtil.isAdded(android.support.v4.app.Fragment),196,4,1,4,3,7
"Show.writeToParcel(android.os.Parcel,int)",357,4,1,3,18,85
BaseProvider.cancel(),8,4,1,3,18,74
BeamManager.connect(com.connectsdk.device.ConnectableDevice),83,4,1,3,16,297
ObscuredSharedPreferences.encrypt(java.lang.String),274,4,1,3,15,188
PixelUtils.getNavigationBarHeight(android.content.Context),293,4,1,3,14,69
ObscuredSharedPreferences.decrypt(java.lang.String),272,4,1,3,13,204
VideoStream.VideoStream(java.lang.String),510,4,1,3,13,36
VPNManager.disconnect(),495,4,1,3,8,116
Show.Show(android.os.Parcel),354,4,1,2,28,50
StringUtils.millisToString(long),398,4,1,2,22,52
VersionUtils.isUsingCorrectBuild(),509,4,1,2,18,52
"TorrentService.onStreamProgress(com.github.sv244.torrentstream.Torrent,com.github.sv244.torrentstream.StreamStatus)",456,4,1,2,11,346
YouTubeData.getSupportedFallbackId(int),527,4,1,1,15,148
"BeamServer.SubtitleFileResponse.onRequest(com.koushikdutta.async.http.server.AsyncHttpServerRequest,com.koushikdutta.async.http.server.AsyncHttpServerResponse)",122,3,3,3,12,253
VLCInstance.get(android.content.Context),485,3,3,3,12,38
"BeamServer.VideoFileReponse.onRequest(com.koushikdutta.async.http.server.AsyncHttpServerRequest,com.koushikdutta.async.http.server.AsyncHttpServerResponse)",124,3,3,3,11,233
"DefaultPlayer.set(java.lang.String,java.lang.String)",139,3,3,3,10,79
SubtitleDownloader.SubtitleParseTask.onProgressUpdate(TimedTextObject...),417,3,3,3,7,151
YSubsProvider.YSubsResponse.getKeys(java.util.HashMap),514,3,3,3,6,160
"PackageUtils.isInstalled(android.content.Context,java.lang.String)",291,3,3,2,11,28
BeamManager.stopVideo(),108,3,3,2,10,217
"YTSProvider.YTSReponse.isInResults(java.util.ArrayList,java.lang.String)",1379,3,3,2,8,248
SubsProvider.isSubFormat(java.lang.String),411,3,3,2,8,200
StorageUtils.getIdealCacheDirectory(android.content.Context),364,3,3,2,7,199
VLCInstance.hasCompatibleCPU(android.content.Context),486,3,3,2,6,59
BaseVideoPlayerFragment.subsLanguageSettings(),65,3,1,3,50,809
BeamPlayerNotificationService.initMediaSessions(),110,3,1,3,34,169
"BeamServer.BeamServer(java.lang.String,int)",116,3,1,3,32,74
BaseVideoPlayerFragment.onResume(),48,3,1,3,23,246
DefaultPlayer.getVideoPlayerApps(),138,3,1,3,23,49
pct.droid.base.updater.PopcornUpdater.__Anon_003_.onResponse(com.squareup.okhttp.Response),680,3,1,3,21,280
"FileArrayAdapter.getView(int,android.view.View,android.view.ViewGroup)",161,3,1,3,18,51
"Movie.writeToParcel(android.os.Parcel,int)",253,3,1,3,16,62
SubtitleDownloader.downloadSubtitle(),419,3,1,3,16,40
BeamManager.disconnect(),84,3,1,3,15,314
"ResourceUtils.getAttributeDimension(android.content.Context,Theme,int)",352,3,1,3,15,33
"YTSProvider.enqueue(com.squareup.okhttp.Request,Callback)",1679,3,1,3,13,80
"SubtitleDownloader.getDownloadedSubtitleFile(android.content.Context,pct.droid.base.providers.media.models.Media,java.lang.String)",1300,3,1,3,13,70
"IntentUtils.getSendIntent(android.content.Context,java.lang.String,java.lang.String)",211,3,1,3,12,40
VPNManager.start(android.app.Activity),501,3,1,3,11,54
BeamManager.getDevices(),86,3,1,3,10,183
BaseStreamLoadingFragment.onTorrentServiceConnected(),27,3,1,3,10,125
"TimedTextFileFormat.join(java.lang.String[],java.lang.String)",429,3,1,3,10,80
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.33.__Anon_001_.onSelection(int,java.lang.Object)",568,3,1,3,9,581
"BaseStreamLoadingFragment.onStreamError(com.github.sv244.torrentstream.Torrent,java.lang.Exception)",19,3,1,3,9,267
"SubtitleDownloader.SubtitleDownloader(android.content.Context,pct.droid.base.torrent.StreamInfo,java.lang.String)",414,3,1,3,9,30
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_034_.get(PrefItem),604,3,1,3,8,595
BeamManager.onDeviceDisconnected(com.connectsdk.device.ConnectableDevice),97,3,1,3,8,373
SubtitleDownloader.parseSubtitle(java.io.File),422,3,1,3,7,57
TorrentService.onDestroy(),451,3,1,3,6,96
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_007_.onClick(PrefItem),577,3,1,2,30,172
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_003_.onClick(PrefItem),573,3,1,2,30,100
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_019_.onClick(PrefItem),589,3,1,2,26,347
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_033_.onClick(PrefItem),603,3,1,2,22,570
"OpenSubsProvider.search(pct.droid.base.providers.media.models.Episode,java.lang.String,de.timroes.axmlrpc.XMLRPCCallback)",286,3,1,2,13,157
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_047_.get(PrefItem),617,3,1,2,9,747
"BeamManager.onDeviceRemoved(com.connectsdk.discovery.DiscoveryManager,com.connectsdk.device.ConnectableDevice)",99,3,1,2,9,425
OpenSubsProvider.login(de.timroes.axmlrpc.XMLRPCCallback),285,3,1,2,9,140
TorrentService.onStreamStopped(),459,3,1,2,7,359
pct.droid.base.providers.meta.TraktProvider.__Anon_001_.doInBackground(java.lang.Void...),656,3,1,1,24,54
pct.droid.base.providers.meta.TraktProvider.__Anon_002_.doInBackground(java.lang.Void...),657,3,1,1,17,91
